time_index,time_stamp,L1,L2,L3,L4,R1,R2,R3,R4,Futek,ENC2
0.0005,2019-09-08 18:20:40.218640,278.0,172.0,172.0,220.0,378.0,216.0,200.0,166.0,,-15,8341804
0.2347,2019-09-08 18:20:40.247142,188.0,172.0,222.0,222.0,386.0,200.0,388.0,218.0,,-15,8341492
0.263,2019-09-08 18:20:40.254808,278.0,172.0,222.0,222.0,406.0,218.0,204.0,168.0,,-15,8341579
0.2706,2019-09-08 18:20:40.265274,278.0,172.0,222.0,222.0,412.0,218.0,204.0,218.0,,-15,8341963
0.2811,2019-09-08 18:20:40.277388,188.0,172.0,222.0,222.0,416.0,416.0,218.0,168.0,,-15,8341925
0.2932,2019-09-08 18:20:40.287754,188.0,172.0,222.0,224.0,422.0,168.0,168.0,422.0,,-15,8341835
0.3036,2019-09-08 18:20:40.304539,188.0,172.0,224.0,222.0,424.0,218.0,208.0,424.0,,-15,8342167
0.3204,2019-09-08 18:20:40.318590,188.0,172.0,224.0,224.0,422.0,422.0,208.0,208.0,,-15,8342160
0.3344,2019-09-08 18:20:40.377878,188.0,172.0,224.0,224.0,406.0,218.0,212.0,170.0,,-15,8341620
0.3938,2019-09-08 18:20:40.388375,188.0,172.0,224.0,224.0,170.0,406.0,218.0,170.0,,-15,8342579
0.4042,2019-09-08 18:20:40.399564,278.0,188.0,172.0,224.0,170.0,404.0,170.0,404.0,,-15,8342641
0.4154,2019-09-08 18:20:40.411998,278.0,188.0,172.0,224.0,220.0,212.0,212.0,212.0,,-15,8341915
0.4279,2019-09-08 18:20:40.424118,278.0,188.0,172.0,224.0,398.0,220.0,400.0,220.0,,-15,8341769
0.4399,2019-09-08 18:20:40.443719,278.0,172.0,224.0,224.0,212.0,170.0,398.0,220.0,,-15,8341949
0.4595,2019-09-08 18:20:40.467617,188.0,172.0,224.0,224.0,168.0,218.0,210.0,168.0,,-15,8342572
0.4834,2019-09-08 18:20:40.473931,278.0,188.0,172.0,224.0,396.0,216.0,210.0,170.0,,-15,8342112
0.4897,2019-09-08 18:20:40.485411,278.0,188.0,172.0,224.0,384.0,214.0,206.0,168.0,,-16,8342112
0.5012,2019-09-08 18:20:40.502721,278.0,188.0,172.0,224.0,378.0,212.0,206.0,168.0,,-16,8342316
0.5187,2019-09-08 18:20:40.518234,280.0,188.0,172.0,224.0,346.0,206.0,342.0,206.0,,-16,8342794
0.5342,2019-09-08 18:20:40.535862,280.0,188.0,172.0,224.0,198.0,202.0,166.0,202.0,,-16,8341679
0.5516,2019-09-08 18:20:40.551304,188.0,172.0,172.0,224.0,306.0,306.0,196.0,166.0,,-16,8342883
0.5671,2019-09-08 18:20:40.564956,188.0,172.0,224.0,224.0,292.0,198.0,194.0,166.0,,-16,8342233
0.5808,2019-09-08 18:20:40.579467,280.0,172.0,224.0,224.0,286.0,198.0,196.0,166.0,,-16,8343074
0.5953,2019-09-08 18:20:40.597712,282.0,172.0,224.0,224.0,276.0,196.0,194.0,164.0,,-15,8342596
0.6135,2019-09-08 18:20:40.611151,188.0,188.0,224.0,224.0,270.0,270.0,194.0,166.0,,-15,8342537
0.6271,2019-09-08 18:20:40.657561,282.0,172.0,224.0,224.0,268.0,196.0,194.0,166.0,,-15,8342475
0.6736,2019-09-08 18:20:40.711289,188.0,172.0,224.0,224.0,164.0,242.0,188.0,164.0,,-15,8342447
0.7274,2019-09-08 18:20:40.717652,172.0,224.0,172.0,224.0,242.0,186.0,164.0,162.0,,-15,8342354
0.7337,2019-09-08 18:20:40.759060,282.0,188.0,172.0,282.0,188.0,188.0,238.0,186.0,,-15,8342070
0.7752,2019-09-08 18:20:40.765866,224.0,188.0,284.0,224.0,240.0,188.0,164.0,188.0,,-15,8342070
0.782,2019-09-08 18:20:40.773679,224.0,188.0,286.0,224.0,240.0,186.0,188.0,164.0,,-15,8342821
0.7902,2019-09-08 18:20:40.784655,286.0,188.0,172.0,224.0,188.0,164.0,240.0,164.0,,-16,8343236
0.801,2019-09-08 18:20:40.797406,286.0,188.0,286.0,222.0,242.0,164.0,188.0,188.0,,-16,8343046
0.8137,2019-09-08 18:20:40.812779,288.0,188.0,288.0,188.0,188.0,164.0,242.0,188.0,,-16,8342216
0.8289,2019-09-08 18:20:40.829576,290.0,188.0,172.0,222.0,164.0,164.0,190.0,164.0,,-16,8342946
0.8459,2019-09-08 18:20:40.870895,292.0,292.0,172.0,222.0,248.0,190.0,164.0,248.0,,-16,8343115
0.8869,2019-09-08 18:20:40.877272,294.0,188.0,172.0,220.0,190.0,190.0,190.0,250.0,,-16,8342029
0.8933,2019-09-08 18:20:40.894663,296.0,188.0,172.0,220.0,190.0,250.0,190.0,164.0,,-16,8342247
0.9107,2019-09-08 18:20:40.913422,298.0,188.0,172.0,220.0,252.0,192.0,190.0,164.0,,-16,8342240
0.9294,2019-09-08 18:20:40.922919,300.0,188.0,172.0,220.0,192.0,192.0,192.0,256.0,,-16,8342368
0.9389,2019-09-08 18:20:40.946784,300.0,186.0,172.0,220.0,192.0,192.0,192.0,260.0,,-16,8341883
0.9628,2019-09-08 18:20:40.976376,302.0,188.0,172.0,220.0,260.0,192.0,192.0,164.0,,-16,8341918
0.9924,2019-09-08 18:20:40.982617,304.0,188.0,172.0,220.0,264.0,194.0,192.0,164.0,,-16,8342447
0.9986,2019-09-08 18:20:40.990958,306.0,186.0,172.0,220.0,264.0,164.0,264.0,164.0,,-17,8342209
1.0071,2019-09-08 18:20:41.003842,306.0,186.0,172.0,220.0,266.0,196.0,192.0,164.0,,-17,8343012
1.0198,2019-09-08 18:20:41.018325,308.0,188.0,172.0,220.0,266.0,266.0,196.0,164.0,,-17,8343517
1.0343,2019-09-08 18:20:41.033582,308.0,188.0,172.0,310.0,266.0,192.0,192.0,266.0,,-17,8342358
1.0496,2019-09-08 18:20:41.057446,310.0,188.0,172.0,310.0,266.0,198.0,194.0,266.0,,-17,8341721
1.0735,2019-09-08 18:20:41.068401,188.0,172.0,172.0,188.0,194.0,198.0,164.0,266.0,,-17,8342645
1.0844,2019-09-08 18:20:41.080807,310.0,188.0,220.0,220.0,266.0,266.0,194.0,194.0,,-17,8342261
1.0968,2019-09-08 18:20:41.097707,312.0,310.0,172.0,220.0,194.0,164.0,266.0,164.0,,-17,8342223
1.1137,2019-09-08 18:20:41.123298,310.0,310.0,172.0,220.0,194.0,200.0,266.0,164.0,,-17,8341738
1.1393,2019-09-08 18:20:41.134127,310.0,220.0,186.0,220.0,194.0,164.0,264.0,164.0,,-17,8342146
1.1502,2019-09-08 18:20:41.145552,310.0,188.0,172.0,220.0,166.0,266.0,196.0,196.0,,-17,8341738
1.1617,2019-09-08 18:20:41.171862,220.0,188.0,172.0,220.0,266.0,200.0,196.0,164.0,,-17,8341648
1.1879,2019-09-08 18:20:41.181143,308.0,188.0,172.0,220.0,266.0,200.0,196.0,164.0,,-17,8342596
1.1971,2019-09-08 18:20:41.193227,308.0,188.0,172.0,220.0,200.0,196.0,166.0,266.0,,-17,8342544
1.2092,2019-09-08 18:20:41.208444,308.0,188.0,172.0,220.0,264.0,196.0,196.0,264.0,,-17,8342669
1.2244,2019-09-08 18:20:41.223042,308.0,188.0,172.0,220.0,264.0,196.0,196.0,266.0,,-17,8342358
1.239,2019-09-08 18:20:41.243858,306.0,188.0,172.0,220.0,196.0,202.0,266.0,200.0,,-17,8342008
1.2599,2019-09-08 18:20:41.263699,306.0,188.0,172.0,220.0,264.0,202.0,196.0,164.0,,-17,8342326
1.2797,2019-09-08 18:20:41.279292,306.0,188.0,172.0,220.0,266.0,202.0,198.0,166.0,,-17,8342479
1.2953,2019-09-08 18:20:41.285539,304.0,188.0,172.0,220.0,264.0,202.0,266.0,202.0,,-17,8341922
1.3015,2019-09-08 18:20:41.300255,304.0,188.0,172.0,220.0,196.0,166.0,264.0,202.0,,-17,8342212
1.3164,2019-09-08 18:20:41.322508,304.0,188.0,172.0,220.0,264.0,202.0,198.0,166.0,,-17,8342018
1.3385,2019-09-08 18:20:41.331569,304.0,188.0,172.0,220.0,264.0,166.0,198.0,166.0,,-17,8342313
